Postal Area (POA),QLD Major Cities of Australia,QLD Inner Regional Australia,QLD Outer Regional Australia,QLD Remote Australia,QLD Very Remote Australia,QLD Migratory,No Usual Address,Total
4625,0,0,2734,0,0,0,0,2734
4626,0,0,2055,56,0,0,0,2119
4627,0,0,785,75,0,0,0,862
4630,0,0,2436,0,0,0,0,2436
4650,0,31331,0,0,0,0,0,31331
4655,0,46930,0,0,0,0,0,46930
4659,0,3882,0,0,0,0,0,3882
4660,0,3558,2476,0,0,0,0,6035
4662,0,418,0,0,0,0,0,418
4670,0,68807,2902,0,0,0,0,71709
4671,0,0,5123,0,0,0,0,5123
4673,0,0,386,0,0,0,0,386
4674,0,0,1548,0,0,0,0,1548
4676,0,0,255,0,0,0,0,255
4677,0,0,2761,0,0,0,0,2761
4678,0,0,682,0,0,0,0,682
4680,0,43237,882,131,0,0,0,44242
4694,0,0,280,0,0,0,0,280
4695,0,0,1120,0,0,0,0,1120
4699,0,0,105,0,0,0,0,105
4700,0,17330,0,120,0,0,0,17449
4701,0,40395,0,0,0,0,0,40395
4702,0,15446,6509,3158,189,0,0,25300
4703,0,15628,747,0,0,0,0,16373
4705,0,0,269,149,0,0,0,417
4706,0,0,0,110,0,0,0,110
4707,0,0,0,322,0,0,0,322
4709,0,0,0,1679,0,0,0,1679
4710,0,3145,0,0,0,0,0,3145
4711,0,1634,0,0,0,0,0,1634
4712,0,0,248,0,0,0,0,248
4713,0,0,0,848,0,0,0,848
4714,0,2446,174,0,0,0,0,2619
4715,0,0,7106,0,0,0,0,7106
4716,0,0,806,0,0,0,0,806
4717,0,0,5031,118,0,0,0,5149
4718,0,0,2130,192,0,0,0,2322
4719,0,0,1238,124,0,0,0,1354
4720,0,0,12021,494,0,0,0,12523
4721,0,0,0,3024,135,0,0,3159
4722,0,0,0,1377,229,0,0,1607
4723,0,0,0,797,0,0,0,797
4724,0,0,0,0,608,0,0,608
4725,0,0,0,0,1617,0,0,1617
4726,0,0,0,0,550,0,0,550
4727,0,0,0,0,266,0,0,266
4728,0,0,0,0,307,0,0,307
4730,0,0,0,0,3583,0,0,3583
4731,0,0,0,0,185,0,0,185
4732,0,0,0,0,106,0,0,106
4733,0,0,0,0,49,0,0,49
4735,0,0,0,0,1350,0,0,1350
4736,0,0,0,0,139,0,0,139
4737,0,0,7062,0,0,0,0,7062
4738,0,0,743,0,0,0,0,743
4739,0,0,76,262,0,0,0,339
4740,0,65484,7157,0,0,0,0,72638
4741,0,0,5639,299,79,0,0,6018
4742,0,0,1157,386,0,0,0,1544
4743,0,0,1116,0,0,0,0,1116
4744,0,0,7297,0,0,0,0,7297
4745,0,0,3133,0,0,0,0,3133
4746,0,0,0,2356,0,0,0,2356
4750,0,4462,0,0,0,0,0,4462
4751,0,2566,907,0,0,0,0,3473
4753,0,0,2273,0,0,0,0,2273
4754,0,0,1951,0,0,0,0,1951
4756,0,0,532,0,0,0,0,532
4757,0,0,348,0,0,0,0,348
4798,0,0,1021,0,0,0,0,1021
4799,0,0,1026,0,0,0,0,1026
4800,0,0,7842,0,0,0,0,7842
4801,0,0,0,77,364,0,0,445
4802,0,0,7275,6,0,0,0,7283
4803,0,0,0,1350,0,0,0,1350
4804,0,0,0,2398,0,0,0,2398
4805,0,0,9697,283,0,0,0,9980
4806,0,0,4001,0,0,0,0,4001
4807,0,0,10968,210,0,0,0,11170
4808,0,0,782,0,0,0,0,782
4809,0,0,1071,0,0,0,0,1071
4810,0,0,19345,0,0,0,0,19345
4811,0,0,11011,0,0,0,0,11011
4812,0,0,18610,0,0,0,0,18610
4813,0,0,803,0,0,0,0,803
4814,0,0,37581,0,0,0,0,37581
4815,0,0,21409,0,0,0,0,21409
4816,0,0,4604,2928,801,0,0,8334
4817,0,0,25984,0,0,0,0,25984
4818,0,0,13302,0,0,0,0,13302
4819,0,0,2111,0,0,0,0,2111
4820,0,0,8778,1376,80,0,0,10239
4821,0,0,0,0,1625,0,0,1625
4822,0,0,0,0,717,0,0,717
4823,0,0,0,0,893,0,0,893
4824,0,0,0,2641,233,0,0,2873
4828,0,0,0,0,309,0,0,309
4829,0,0,0,0,349,0,0,349
4830,0,0,0,0,1575,0,0,1575
4849,0,0,0,1849,0,0,0,1849
4850,0,0,8534,2878,0,0,0,11414
4852,0,0,2388,0,0,0,0,2388
4854,0,0,4965,1662,0,0,0,6628
4855,0,0,232,0,0,0,0,232
4856,0,0,326,0,0,0,0,326
4857,0,0,326,0,0,0,0,326
4858,0,0,1390,0,0,0,0,1390
4859,0,0,483,0,0,0,0,483
4860,0,0,11810,0,0,0,0,11810
4861,0,0,1778,0,0,0,0,1778
4865,0,0,5193,0,0,0,0,5193
4868,0,0,16770,0,0,0,0,16770
4869,0,0,15246,0,0,0,0,15246
4870,0,0,59491,0,0,0,0,59491
4871,0,0,9248,881,6221,0,0,16344
4872,0,0,5017,938,0,0,0,5954
4873,0,0,5528,464,0,0,0,5987
4874,0,0,0,0,3929,0,0,3929
4875,0,0,0,0,7628,0,0,7628
4876,0,0,0,0,1938,0,0,1938
4877,0,0,4166,0,0,0,0,4166
4878,0,0,11001,0,0,0,0,11001
4879,0,0,12826,0,0,0,0,12826
4880,0,0,10805,0,0,0,0,10805
4881,0,0,3711,0,0,0,0,3711
4882,0,0,2124,0,0,0,0,2124
4883,0,0,6952,0,0,0,0,6952
4884,0,0,1639,0,0,0,0,1639
4885,0,0,4071,0,0,0,0,4071
4886,0,0,646,0,0,0,0,646
4887,0,0,1830,0,0,0,0,1830
4888,0,0,2378,585,0,0,0,2964
4890,0,0,0,0,1385,0,0,1385
4891,0,0,0,0,520,0,0,520
4895,0,0,0,3414,225,0,0,3645
4998,0,0,0,0,0,0,12806,12806
4999,0,0,0,0,0,99,0,99
Total,2335821,847657,581902,59209,45965,99,12806,3883459
